"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"① 재생에너지",바이오 (MWh),하수슬러지 고형연료,소계,410193,-,-,-,-,-,-,-,-,-,-,-,299073,-,-,22713,88408,-,406146,-,-,-,-,-,-,-,-,-,-,-,306950,-,-,14893,84303,-,73784,-,-,-,-,-,-,-,-,-,-,-,62373,-,-,11412,-,-
"① 재생에너지",바이오 (MWh),하수슬러지 고형연료,사업용,410193,-,-,-,-,-,-,-,-,-,-,-,299073,-,-,22713,88408,-,406146,-,-,-,-,-,-,-,-,-,-,-,306950,-,-,14893,84303,-,73784,-,-,-,-,-,-,-,-,-,-,-,62373,-,-,11412,-,-
"① 재생에너지",바이오 (MWh),Bio-SRF,소계,1983916,-,-,-,54639,-,-,-,25790,238056,233882,-,992262,407366,18277,-,10969,2675,1892499,-,-,-,26487,-,-,-,27461,263181,182924,-,939771,398904,13956,-,38332,1484,1892487,-,-,-,19945,-,-,-,12460,347221,203969,-,889312,331670,26216,-,53242,8452
"① 재생에너지",바이오 (MWh),Bio-SRF,사업용,1983916,-,-,-,54639,-,-,-,25790,238056,233882,-,992262,407366,18277,-,10969,2675,1892499,-,-,-,26487,-,-,-,27461,263181,182924,-,939771,398904,13956,-,38332,1484,1720336,-,-,-,19945,-,-,-,12460,347221,203969,-,717162,331670,26216,-,53242,8452
"① 재생에너지",바이오 (MWh),Bio-SRF,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172150,-,-,-,-,-,-,-,-,-,-,-,172150,-,-,-,-,-
"① 재생에너지",바이오 (MWh),바이오중유,소계,1918119,-,-,-,-,-,-,558487,-,-,-,-,-,-,-,-,-,1359632,1832406,-,-,-,-,-,-,428017,-,-,-,-,-,-,-,-,-,1404388,1654179,-,-,-,-,-,-,55475,-,-,-,-,-,-,-,-,-,1598705
"① 재생에너지",바이오 (MWh),바이오중유,사업용,1918119,-,-,-,-,-,-,558487,-,-,-,-,-,-,-,-,-,1359632,1832406,-,-,-,-,-,-,428017,-,-,-,-,-,-,-,-,-,1404388,1654179,-,-,-,-,-,-,55475,-,-,-,-,-,-,-,-,-,1598705
"① 재생에너지",폐기물 (MWh),소계,소계,439137,45912,43458,5252,8470,5539,533,5330,5053,73072,24791,20610,17261,15911,61831,51907,17263,36946,470620,69477,39506,4996,9278,6438,2683,6193,4704,76112,22885,23435,13352,21301,61136,50388,15702,43033,413529,69288,28419,3768,8858,6510,3878,4532,4251,64591,14084,35249,11469,17747,77472,28216,15711,19487
"① 재생에너지",폐기물 (MWh),사업용,소계,337612,30884,41114,64,8024,5539,-,2284,5053,39576,24276,12374,16454,10446,61831,41695,3844,34154,359968,53392,37226,47,7172,6438,-,3037,4704,43240,22289,17686,12473,16350,51710,40631,3629,39945,349828,57044,25503,-,6709,6510,-,3283,3884,49736,14001,32426,10633,17747,77472,22438,4914,17528
"① 재생에너지",폐기물 (MWh),자가용,소계,101525,15028,2344,5188,446,-,533,3046,-,33496,515,8236,806,5465,-,10211,13420,2792,110652,16085,2281,4949,2106,-,2683,3155,-,32873,597,5749,879,4950,9426,9758,12073,3088,63701,12244,2916,3768,2149,-,3878,1249,367,14855,83,2823,836,-,-,5778,10797,1959
"① 재생에너지",폐기물 (MWh),폐가스,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),폐가스,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),폐가스,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
